date;calls;weekday;month_day;month_year;reservations_2months_advance;total_reservations;summer_break;christmas_break;special_day
2013-11-27;4978;3;11-27;2013-11;;;0.0;0.0;0.0
2013-11-28;5144;4;11-28;2013-11;;;0.0;0.0;0.0
2013-11-29;4837;5;11-29;2013-11;;;0.0;0.0;0.0
2013-11-30;1977;6;11-30;2013-11;;;0.0;0.0;0.0
2013-12-01;1391;7;12-01;2013-12;;;0.0;0.0;0.0
2013-12-02;3946;1;12-02;2013-12;;;0.0;0.0;0.0
2013-12-03;4664;2;12-03;2013-12;;;0.0;0.0;0.0
2013-12-04;4640;3;12-04;2013-12;;;0.0;0.0;0.0
2013-12-05;3961;4;12-05;2013-12;;;0.0;0.0;0.0
2013-12-06;4608;5;12-06;2013-12;;;0.0;0.0;0.0
2013-12-07;2348;6;12-07;2013-12;;;0.0;0.0;0.0
2013-12-08;1695;7;12-08;2013-12;;;0.0;0.0;0.0
2013-12-09;4641;1;12-09;2013-12;;;0.0;0.0;0.0
2013-12-10;5296;2;12-10;2013-12;;;0.0;0.0;0.0
2013-12-11;3917;3;12-11;2013-12;;;0.0;0.0;0.0
2013-12-12;3465;4;12-12;2013-12;;;0.0;0.0;0.0
2013-12-13;3915;5;12-13;2013-12;;;0.0;0.0;0.0
2013-12-14;2719;6;12-14;2013-12;;;0.0;0.0;0.0
2013-12-15;2166;7;12-15;2013-12;;;0.0;0.0;0.0
2013-12-16;4378;1;12-16;2013-12;;;0.0;0.0;0.0
2013-12-17;3405;2;12-17;2013-12;;;0.0;0.0;0.0
2013-12-18;3611;3;12-18;2013-12;;;0.0;0.0;0.0
2013-12-19;3876;4;12-19;2013-12;;;0.0;0.0;0.0
2013-12-20;3894;5;12-20;2013-12;;;0.0;0.0;0.0
2013-12-21;3463;6;12-21;2013-12;;;0.0;1.0;0.0
2013-12-22;3163;7;12-22;2013-12;;;0.0;1.0;0.0
2013-12-23;5454;1;12-23;2013-12;;;0.0;1.0;0.0
2013-12-24;3557;2;12-24;2013-12;;;0.0;1.0;0.0
2013-12-25;2371;3;12-25;2013-12;;;0.0;1.0;1.0
2013-12-26;4560;4;12-26;2013-12;;;0.0;1.0;1.0
2013-12-27;6924;5;12-27;2013-12;;;0.0;1.0;0.0
2013-12-28;5663;6;12-28;2013-12;;;0.0;1.0;1.0
2013-12-29;4583;7;12-29;2013-12;;;0.0;1.0;0.0
2013-12-30;7325;1;12-30;2013-12;;;0.0;1.0;0.0
2013-12-31;5321;2;12-31;2013-12;;;0.0;1.0;0.0
2014-01-01;1327;3;01-01;2014-01;1494.0;7794.0;0.0;1.0;1.0
2014-01-02;3417;4;01-02;2014-01;2891.0;20074.0;0.0;1.0;0.0
2014-01-03;3178;5;01-03;2014-01;2790.0;17905.0;0.0;1.0;0.0
2014-01-04;1767;6;01-04;2014-01;2504.0;10880.0;0.0;0.0;0.0
2014-01-05;1374;7;01-05;2014-01;1522.0;8333.0;0.0;0.0;0.0
2014-01-06;1331;1;01-06;2014-01;965.0;7900.0;0.0;0.0;0.0
2014-01-07;2785;2;01-07;2014-01;1997.0;16468.0;0.0;0.0;0.0
2014-01-08;2893;3;01-08;2014-01;2068.0;17420.0;0.0;0.0;0.0
2014-01-09;3090;4;01-09;2014-01;1988.0;17943.0;0.0;0.0;0.0
2014-01-10;3151;5;01-10;2014-01;2761.0;19016.0;0.0;0.0;0.0
2014-01-11;1906;6;01-11;2014-01;1736.0;11060.0;0.0;0.0;0.0
2014-01-12;1263;7;01-12;2014-01;1432.0;7367.0;0.0;0.0;0.0
2014-01-13;3342;1;01-13;2014-01;2252.0;18513.0;0.0;0.0;0.0
2014-01-14;3117;2;01-14;2014-01;2829.0;18067.0;0.0;0.0;0.0
2014-01-15;3191;3;01-15;2014-01;1831.0;19101.0;0.0;0.0;0.0
2014-01-16;3153;4;01-16;2014-01;3229.0;18863.0;0.0;0.0;0.0
2014-01-17;3042;5;01-17;2014-01;2590.0;17735.0;0.0;0.0;0.0
2014-01-18;1874;6;01-18;2014-01;2824.0;10760.0;0.0;0.0;0.0
2014-01-19;1392;7;01-19;2014-01;1520.0;7870.0;0.0;0.0;0.0
2014-01-20;2734;1;01-20;2014-01;2526.0;15972.0;0.0;0.0;0.0
2014-01-21;2412;2;01-21;2014-01;2205.0;13781.0;0.0;0.0;0.0
2014-01-22;2219;3;01-22;2014-01;2058.0;12276.0;0.0;0.0;0.0
2014-01-23;2342;4;01-23;2014-01;1859.0;14834.0;0.0;0.0;0.0
2014-01-24;2280;5;01-24;2014-01;2244.0;13189.0;0.0;0.0;0.0
